"telegram_chat_id","username"
"1","TradeCoinUnderGround"
"2","TCGFORYOU"
"3","crypto_signals_binance_pump"
"4","CryptoPumpisland_Official"
"5","bitcoinpumpgroup"
"6",NULL
"7","wiseadvicebysumit"
"8","cryptopapa_signalsadmin1"
"9",NULL
"10","binancesignalsturkeyyyy"
"11","CryptoVIPSignalTA"
"12","CryptoHub_Bitcoin"
"13","pumps301"
"14","signals_slayer"
"15",NULL
"16",NULL
"17","VIPExpertSignals"
"18","CoinCoachSignals"
"19","crypto_pump_island"
"20","FieryTradingPumpAlerts"
"21","Coin_Signals"
"23","tradecoinundergroundchannel"
"24",NULL
"25","pumpcoinvip"
"26","Binanceexchange_1"
"27","cryptopapasignals"
"28",NULL
"29","Whalesguide"
"30","cryptoclubpump"
"31","Big_Pumps_Signals"
"32","BitcoinOrders"
"33","yocrypto"
"34","CryptoCaptain1"
"35","BinanceTrading360"
"37","moonbotcrypto"
"38","megasignalsgroup"
"39","mushiemuchmushi"
"40","zolansignal"
"41",NULL
"42","CrypticTrading"
"43","mega_pump_group"
"44","wall_street_bets_channel"
"45","CryptoSignal"
"46","CoinpumpT"
"47","cryptosignalsvipr"
"49","BinanceSuperPumpSignals"
"50",NULL
"51","pancakeswap_pumping"
"52","moonlightsignal"
"53","cprofits"
"54","PrivateGroupforpump"
"55","Crypto_Pump_Analytics"
"56","cryptoflashsignals"
"57","binancepumpdetector"
"59",NULL
"60","BinanceCryptoPumps"
"61","Official_CryptoWheals"
"62","pumpleaks"
"64","CryptoPlanetCalls"
"65","evrydaypump"
"66",NULL
"67","bitcoin_pump_chanel"
"68","ChinaMegaPump"
"70","kucoin_official_pumpss"
"71",NULL
"72","pump_binancel"
"73",NULL
"74","TartariaHistoryChannel"
"75","binance_360"
"78",NULL
"79","Scalping_300"
"81","binkbun"
"82","next10xgem1"
"83","Cryptocoinpumpsignals"
"84",NULL
"85","TodayWePush"
"86","MonoPayCoin"
"87",NULL
"88","whaleglobal"
"89",NULL
"90","binanceturkfree"
"91","Big_Pumps_Signals_Global"
"92","Crypto_Bitcoin_Pump"
"94","Cryptopumpsandtrading"
"95","AlexFriedmanOfficial"
"96","PhoenixSignalsCrypto"
"97","alexfrisdfapk"
"98","DuyuruKonusu"
"99","turksd332"
"100","wallstreetqueenofficial"
"101","CryptoCashFlowReal"
"102","crypto_pump_best"
"103","kucoin_binance_pump_signals"
"104",NULL
"105","cryptopumpsignalsgroup"
"106","Biggestcryptopumpchannel"
"107","Crypto_Pumps_Mason"
"108","Kucoin_english_pump"
"110","Kucoin_Binance_Pumps"
"111","hotbit_trading_pumps"
"112",NULL
"113","pump_hotbit_kucoin_signals"
"114","Yangariftradeducate"
"115","CryptoSignaLCrazy"
"117","Crypto_Pumps_Event"
"118","cryptopumpsignalsfrance1"
